,games_played,wins,win_rate
Surrey,1.0,1.0,1.0
Elba Island,1.0,1.0,1.0
Asturias,1.0,1.0,1.0
Maule Sur,2.0,2.0,1.0
Kurdistan,5.0,4.0,0.8
Canary Islands,4.0,3.0,0.75
Yorkshire,7.0,5.0,0.7142857142857143
County of Nice,9.0,6.0,0.6666666666666666
Franconia,3.0,2.0,0.6666666666666666
Biafra,3.0,2.0,0.6666666666666666
Quebec,3.0,2.0,0.6666666666666666
Parishes of Jersey,3.0,2.0,0.6666666666666666
Padania,45.0,30.0,0.6666666666666666
Jersey,235.0,153.0,0.6510638297872341
Brazil,1062.0,672.0,0.632768361581921
Andalusia,13.0,8.0,0.6153846153846154
Rhodes,18.0,11.0,0.6111111111111112
Basque Country,64.0,39.0,0.609375
Guernsey,240.0,145.0,0.6041666666666666
Isle of Man,58.0,35.0,0.603448275862069
Crimea,5.0,3.0,0.6
Northern Cyprus,34.0,20.0,0.5882352941176471
Spain,785.0,460.0,0.5859872611464968
Kernow,12.0,7.0,0.5833333333333334
Germany,1034.0,599.0,0.5793036750483559
Occitania,33.0,19.0,0.5757575757575758
Tamil Eelam,28.0,16.0,0.5714285714285714
England,1092.0,624.0,0.5714285714285714
Cascadia,7.0,4.0,0.5714285714285714
Iran,615.0,349.0,0.567479674796748
Ynys Môn,67.0,37.0,0.5522388059701493
Argentina,1071.0,591.0,0.5518207282913166
Artsakh,11.0,6.0,0.5454545454545454
Isle of Wight,48.0,26.0,0.5416666666666666
Tahiti,242.0,131.0,0.5413223140495868
Italy,893.0,477.0,0.5341545352743561
South Korea,1010.0,538.0,0.5326732673267327
Czech Republic,363.0,191.0,0.5261707988980716
Croatia,399.0,209.0,0.5238095238095238
Russia,748.0,384.0,0.5133689839572193
New Caledonia,265.0,136.0,0.5132075471698113
Netherlands,881.0,452.0,0.5130533484676504
Mexico,1006.0,514.0,0.510934393638171
Ivory Coast,639.0,325.0,0.5086071987480438
France,937.0,476.0,0.5080042689434365
Australia,584.0,296.0,0.5068493150684932
Arameans Suryoye,10.0,5.0,0.5
Mapuche,2.0,1.0,0.5
Délvidék,2.0,1.0,0.5
Central Spain,2.0,1.0,0.5
Ellan Vannin,22.0,11.0,0.5
Brittany,12.0,6.0,0.5
Egypt,759.0,379.0,0.4993412384716733
Portugal,697.0,348.0,0.49928263988522237
Morocco,620.0,306.0,0.4935483870967742
Japan,793.0,390.0,0.4918032786885246
Sweden,1104.0,541.0,0.490036231884058
China,701.0,339.0,0.48359486447931527
Iraqi Kurdistan,27.0,13.0,0.48148148148148145
Uzbekistan,356.0,169.0,0.4747191011235955
Panjab,19.0,9.0,0.47368421052631576
Saudi Arabia,743.0,351.0,0.47240915208613726
Nigeria,660.0,311.0,0.4712121212121212
Scotland,854.0,402.0,0.4707259953161593
German DR,298.0,140.0,0.4697986577181208
Hungary,1005.0,471.0,0.46865671641791046
Senegal,640.0,298.0,0.465625
Algeria,619.0,287.0,0.46365105008077545
Iraq,657.0,304.0,0.4627092846270928
Yugoslavia,483.0,223.0,0.4616977225672878
Ghana,674.0,311.0,0.46142433234421365
Denmark,874.0,402.0,0.459954233409611
Abkhazia,33.0,15.0,0.45454545454545453
Kárpátalja,11.0,5.0,0.45454545454545453
Czechoslovakia,520.0,236.0,0.45384615384615384
Zambia,793.0,358.0,0.4514501891551072
Ukraine,338.0,152.0,0.44970414201183434
Belgium,856.0,382.0,0.4462616822429907
Serbia,348.0,155.0,0.4454022988505747
South Africa,483.0,215.0,0.4451345755693582
Corsica,9.0,4.0,0.4444444444444444
United States,793.0,351.0,0.4426229508196721
Menorca,25.0,11.0,0.44
Cameroon,616.0,271.0,0.43993506493506496
Uruguay,973.0,428.0,0.4398766700924974
Martinique,331.0,145.0,0.4380664652567976
Romania,766.0,335.0,0.43733681462140994
Costa Rica,723.0,316.0,0.43706777316735823
Tunisia,681.0,296.0,0.434654919236417
Suriname,399.0,173.0,0.43358395989974935
Fiji,268.0,116.0,0.43283582089552236
Vietnam,297.0,128.0,0.43097643097643096
Poland,892.0,384.0,0.4304932735426009
Chameria,7.0,3.0,0.42857142857142855
Réunion,124.0,53.0,0.4274193548387097
Trinidad and Tobago,752.0,321.0,0.42686170212765956
Austria,863.0,367.0,0.42526071842410196
Guadeloupe,271.0,115.0,0.42435424354243545
Haiti,513.0,216.0,0.42105263157894735
Solomon Islands,214.0,90.0,0.4205607476635514
Vietnam Republic,195.0,82.0,0.4205128205128205
Felvidék,12.0,5.0,0.4166666666666667
Galicia,12.0,5.0,0.4166666666666667
Kuwait,684.0,285.0,0.4166666666666667
Uganda,685.0,285.0,0.41605839416058393
North Korea,390.0,162.0,0.4153846153846154
Sápmi,29.0,12.0,0.41379310344827586
Åland Islands,51.0,21.0,0.4117647058823529
Myanmar,511.0,210.0,0.410958904109589
New Zealand,419.0,172.0,0.4105011933174224
Mali,569.0,232.0,0.4077328646748682
Qatar,638.0,260.0,0.40752351097178685
Slovakia,367.0,149.0,0.40599455040871935
Kosovo,104.0,42.0,0.40384615384615385
Colombia,641.0,258.0,0.40249609984399376
United Arab Emirates,612.0,246.0,0.4019607843137255
Turkey,645.0,259.0,0.4015503875968992
Saint Barthélemy,10.0,4.0,0.4
East Turkestan,5.0,2.0,0.4
Honduras,620.0,247.0,0.39838709677419354
Saint Kitts and Nevis,226.0,90.0,0.39823008849557523
Catalonia,48.0,19.0,0.3958333333333333
Thailand,864.0,339.0,0.3923611111111111
DR Congo,526.0,206.0,0.3916349809885932
Malaysia,835.0,327.0,0.3916167664670659
Tajikistan,200.0,78.0,0.39
Dominican Republic,159.0,62.0,0.389937106918239
Jamaica,663.0,258.0,0.3891402714932127
Indonesia,727.0,281.0,0.38651994497936726
Republic of Ireland,633.0,243.0,0.38388625592417064
Zimbabwe,496.0,190.0,0.38306451612903225
Western Isles,34.0,13.0,0.38235294117647056
Kenya,706.0,268.0,0.37960339943342775
Oman,543.0,206.0,0.37937384898710863
Canada,472.0,179.0,0.3792372881355932
Greece,633.0,240.0,0.3791469194312796
Chile,834.0,315.0,0.3776978417266187
Matabeleland,8.0,3.0,0.375
Silesia,8.0,3.0,0.375
Norway,875.0,328.0,0.37485714285714283
Cape Verde,238.0,89.0,0.3739495798319328
Saint Vincent and the Grenadines,236.0,88.0,0.3728813559322034
Libya,384.0,143.0,0.3723958333333333
Guinea,539.0,200.0,0.37105751391465674
Jordan,488.0,180.0,0.36885245901639346
Madagascar,320.0,118.0,0.36875
Curaçao,388.0,143.0,0.36855670103092786
Saint Martin,68.0,25.0,0.36764705882352944
Gotland,30.0,11.0,0.36666666666666664
Turkmenistan,175.0,64.0,0.3657142857142857
Bosnia and Herzegovina,286.0,104.0,0.36363636363636365
Israel,498.0,181.0,0.3634538152610442
Shetland,58.0,21.0,0.3620689655172414
Slovenia,317.0,114.0,0.35962145110410093
Guatemala,554.0,199.0,0.3592057761732852
Syria,484.0,173.0,0.3574380165289256
India,533.0,190.0,0.35647279549718575
Switzerland,887.0,316.0,0.35625704622322435
Bulgaria,736.0,262.0,0.35597826086956524
Bahrain,584.0,207.0,0.3544520547945205
Burkina Faso,463.0,164.0,0.3542116630669546
Ethiopia,408.0,144.0,0.35294117647058826
Cuba,397.0,139.0,0.3501259445843829
Paraguay,786.0,275.0,0.34987277353689566
Gabon,405.0,141.0,0.34814814814814815
Saint Lucia,230.0,80.0,0.34782608695652173
Provence,23.0,8.0,0.34782608695652173
